epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51815,1.92866,4.80132,1.83955,0,0,0,0,2.2924,4.35546,1.89132,0,0,0
2,9.38931,2.21296,4.87809,1.749,0,0,0,0,2.32882,4.36208,1.8962,7.53774e-06,7.53774e-06,7.53774e-06
3,14.3104,1.88559,4.78081,1.73289,0,0,0,0,2.31696,4.3538,1.93695,1.4771e-05,1.4771e-05,1.4771e-05
4,19.3159,1.89599,4.85253,1.85073,0,0,0,0,2.22639,4.35139,1.86691,2.16996e-05,2.16996e-05,2.16996e-05
5,23.9713,1.99996,4.84243,1.82381,0,0,0,0,2.15611,4.32698,1.81483,2.83238e-05,2.83238e-05,2.83238e-05
6,29.3096,1.98528,5.34477,1.86419,0,0,0,0,2.09962,4.30794,1.79067,3.46435e-05,3.46435e-05,3.46435e-05
7,33.1618,1.51921,4.75981,1.47794,0,0,0,0,2.0619,4.26975,1.77869,4.06586e-05,4.06586e-05,4.06586e-05
8,36.9729,1.93172,4.56141,1.77732,0.00494,0.13333,0.0042,0.00159,2.09749,4.30978,1.80641,4.63692e-05,4.63692e-05,4.63692e-05
9,40.7827,1.80724,4.80678,1.54348,0.00786,0.23333,0.00978,0.00416,2.11559,4.31921,1.84919,5.17752e-05,5.17752e-05,5.17752e-05
10,44.749,1.52492,4.53441,1.27676,0.00985,0.3,0.02139,0.00778,2.1535,4.30252,1.82951,5.68768e-05,5.68768e-05,5.68768e-05
11,48.7324,1.77851,4.38077,1.44307,0.01286,0.4,0.06331,0.01867,2.34945,4.21325,2.06547,6.16738e-05,6.16738e-05,6.16738e-05
12,52.4343,1.5778,4.3266,1.50088,0.01088,0.33333,0.10578,0.03277,2.40571,4.17222,2.2135,6.61663e-05,6.61663e-05,6.61663e-05
13,56.3134,1.85766,4.64633,1.61947,0.01296,0.4,0.12163,0.03896,2.44133,4.11895,2.20425,7.03543e-05,7.03543e-05,7.03543e-05
14,60.1547,1.69172,4.39733,1.3331,0.0131,0.4,0.16962,0.06374,2.38481,4.1383,2.04897,7.42377e-05,7.42377e-05,7.42377e-05
15,63.9341,1.56351,4.34234,1.412,0.01039,0.33333,0.16703,0.06606,2.34269,4.16485,1.89519,7.78166e-05,7.78166e-05,7.78166e-05
16,67.819,1.21752,4.05602,1.21797,0.01151,0.33333,0.17385,0.06861,2.3576,4.14074,1.84246,8.10911e-05,8.10911e-05,8.10911e-05
17,71.719,1.51603,4.2868,1.3572,0.01139,0.33333,0.1702,0.06647,2.36057,4.1256,1.83007,8.40609e-05,8.40609e-05,8.40609e-05
18,75.5542,1.79196,4.1198,1.52828,0.01139,0.33333,0.1702,0.06647,2.36057,4.1256,1.83007,8.67263e-05,8.67263e-05,8.67263e-05
19,79.2312,1.94855,4.49203,1.5187,0.012,0.33333,0.19098,0.0754,2.42617,4.11947,1.88187,8.90871e-05,8.90871e-05,8.90871e-05
20,83.179,1.71898,4.31375,1.38638,0.012,0.33333,0.19098,0.0754,2.42617,4.11947,1.88187,9.11434e-05,9.11434e-05,9.11434e-05
21,87.2801,1.77605,4.23658,1.51275,0.01235,0.33333,0.19218,0.0778,2.45472,4.13429,1.92312,9.28952e-05,9.28952e-05,9.28952e-05
22,91.7708,1.73672,3.90121,1.38505,0.01235,0.33333,0.19218,0.0778,2.45472,4.13429,1.92312,9.43425e-05,9.43425e-05,9.43425e-05
23,96.781,1.91449,4.1835,1.53754,0.01184,0.33333,0.18718,0.07175,2.51282,4.11671,1.96883,9.54852e-05,9.54852e-05,9.54852e-05
24,102.591,1.3927,3.56317,1.31033,0.01184,0.33333,0.18718,0.07175,2.51282,4.11671,1.96883,9.63234e-05,9.63234e-05,9.63234e-05
25,109.231,1.42465,3.68715,1.27556,0.01108,0.33333,0.18111,0.06849,2.50756,4.08024,2.00464,9.68571e-05,9.68571e-05,9.68571e-05
26,115.09,1.55683,3.90238,1.37258,0.01108,0.33333,0.18111,0.06849,2.50756,4.08024,2.00464,9.70863e-05,9.70863e-05,9.70863e-05
27,120.71,1.8642,4.3836,1.43954,0.0109,0.33333,0.16735,0.06243,2.44562,4.04474,2.0014,9.70109e-05,9.70109e-05,9.70109e-05
28,126.753,1.7134,4.43811,1.43724,0.0109,0.33333,0.16735,0.06243,2.44562,4.04474,2.0014,9.6631e-05,9.6631e-05,9.6631e-05
29,131.499,1.2088,3.3518,1.19605,0.01062,0.33333,0.15513,0.05659,2.35219,4.04923,2.01043,9.59466e-05,9.59466e-05,9.59466e-05
30,136.338,1.76231,3.66819,1.49554,0.01062,0.33333,0.15513,0.05659,2.35219,4.04923,2.01043,9.49577e-05,9.49577e-05,9.49577e-05
31,141.178,1.50522,3.71381,1.44715,0.01108,0.33333,0.14797,0.05408,2.32673,4.09712,2.08301,9.36642e-05,9.36642e-05,9.36642e-05
32,145.482,1.38162,3.28331,1.31199,0.01108,0.33333,0.14797,0.05408,2.32673,4.09712,2.08301,9.20662e-05,9.20662e-05,9.20662e-05
33,149.723,1.29822,3.18778,1.1818,0.01042,0.33333,0.14118,0.05674,2.32073,4.11489,2.13721,9.01637e-05,9.01637e-05,9.01637e-05
34,154.03,1.42115,3.5074,1.3182,0.01042,0.33333,0.14118,0.05674,2.32073,4.11489,2.13721,8.79567e-05,8.79567e-05,8.79567e-05
35,158.485,1.35782,3.42413,1.28365,0.01037,0.33333,0.13933,0.04928,2.26282,4.10645,2.13676,8.54451e-05,8.54451e-05,8.54451e-05
36,162.806,1.4105,3.98155,1.22754,0.01037,0.33333,0.13933,0.04928,2.26282,4.10645,2.13676,8.26291e-05,8.26291e-05,8.26291e-05
37,167.26,1.48423,3.43955,1.29917,0.00936,0.33333,0.13881,0.0488,2.27748,4.08893,2.11133,7.95084e-05,7.95084e-05,7.95084e-05
38,171.27,1.55684,3.65686,1.48006,0.00936,0.33333,0.13881,0.0488,2.27748,4.08893,2.11133,7.60833e-05,7.60833e-05,7.60833e-05
39,175.379,1.47586,3.33783,1.21313,0.00905,0.33333,0.1387,0.04823,2.25818,4.07641,2.06242,7.23537e-05,7.23537e-05,7.23537e-05
40,179.239,1.17473,3.18578,1.17748,0.00905,0.33333,0.1387,0.04823,2.25818,4.07641,2.06242,6.83195e-05,6.83195e-05,6.83195e-05
41,183.18,1.55815,3.94478,1.47413,0.00747,0.23333,0.13574,0.04814,2.21024,4.07728,2.02236,6.39808e-05,6.39808e-05,6.39808e-05
42,187.029,1.42902,3.53868,1.26448,0.00747,0.23333,0.13574,0.04814,2.21024,4.07728,2.02236,5.93376e-05,5.93376e-05,5.93376e-05
43,190.93,1.62909,3.89176,1.47822,0.00764,0.23333,0.13573,0.0483,2.17825,4.07176,1.99182,5.43898e-05,5.43898e-05,5.43898e-05
44,195.02,1.38454,3.48697,1.38544,0.00764,0.23333,0.13573,0.0483,2.17825,4.07176,1.99182,4.91376e-05,4.91376e-05,4.91376e-05
45,199.15,1.43196,3.80252,1.38931,0.00754,0.23333,0.13585,0.04839,2.16636,4.05487,1.9608,4.35808e-05,4.35808e-05,4.35808e-05
46,203.386,1.29611,3.62213,1.21674,0.00754,0.23333,0.13585,0.04839,2.16636,4.05487,1.9608,3.77194e-05,3.77194e-05,3.77194e-05
47,208.015,1.42178,3.77161,1.25209,0.00743,0.23333,0.1359,0.05513,2.14904,4.04604,1.91552,3.15536e-05,3.15536e-05,3.15536e-05
48,211.92,1.53228,3.6268,1.27947,0.00743,0.23333,0.1359,0.05513,2.14904,4.04604,1.91552,2.50832e-05,2.50832e-05,2.50832e-05
49,216.083,1.47649,3.62237,1.38936,0.00706,0.23333,0.13602,0.05522,2.13934,4.01771,1.89835,1.83084e-05,1.83084e-05,1.83084e-05
50,220.178,1.24976,3.60351,1.24932,0.00706,0.23333,0.13602,0.05522,2.13934,4.01771,1.89835,1.12289e-05,1.12289e-05,1.12289e-05
